x,y,height
-56,-27,5
-56,-26,3
-56,-25,2
-56,-24,2
-56,-23,2
-56,-22,2
-56,-21,3
-56,-20,2
-56,-19,-1
-56,-18,-2
-56,-17,-2
-56,-16,-3
-56,-15,-3
-56,-14,-2
-56,-13,-3
-56,-12,-3
-56,-11,-4
-56,-10,-4
-56,-9,-4
-56,-8,-3
-56,-7,-3
-56,-6,-2
-56,-5,0
-56,-4,1
-56,-3,2
-56,-2,2
-56,-1,2
-56,0,2
-56,1,2
-56,2,2
-56,3,2
-56,4,2
-56,5,3
-56,6,6
-56,7,8
-56,8,10
-56,9,10
-56,10,10
-56,11,10
-56,12,10
-56,13,10
-56,14,10
-56,15,10
-56,16,10
-56,17,10
-56,18,10
-56,19,10
-56,20,10
-56,21,10
-56,22,10
-56,23,10
-56,24,10
-56,25,10
-56,26,10
-56,27,10
-56,28,10
-56,29,10
-56,30,10
-56,31,9
-56,32,8
-56,33,6
-56,34,4
-56,35,2
-56,36,2
-56,37,2
-56,38,2
-56,39,2
-56,40,2
-56,41,2
-56,42,2
-56,43,2
-56,44,2
-56,45,2
-56,46,2
-56,47,2
-56,48,2
-56,49,2
-56,50,2
-56,51,2
-56,52,2
-56,53,2
-56,54,2
-56,55,2
-56,56,2
-56,57,3
-56,58,5
-56,59,7
-56,60,8
-55,-37,11
-55,-36,11
-55,-35,10
-55,-34,10
-55,-33,10
-55,-32,10
-55,-31,10
-55,-30,10
-55,-29,8
-55,-28,4
-55,-27,2
-55,-26,2
-55,-25,2
-55,-24,2
-55,-23,2
-55,-22,2
-55,-21,1
-55,-20,-2
-55,-19,-3
-55,-18,-3
-55,-17,-3
-55,-16,-3
-55,-15,-3
-55,-14,-3
-55,-13,-3
-55,-12,-3
-55,-11,-3
-55,-10,-4
-55,-9,-4
-55,-8,-4
-55,-7,-4
-55,-6,-4
-55,-5,-4
-55,-4,-3
-55,-3,-2
-55,-2,-1
-55,-1,1
-55,0,2
-55,1,2
-55,2,2
-55,3,2
-55,4,2
-55,5,2
-55,6,2
-55,7,2
-55,8,4
-55,9,7
-55,10,8
-55,11,9
-55,12,10
-55,13,10
-55,14,10
-55,15,10
-55,16,10
-55,17,10
-55,18,10
-55,19,10
-55,20,10
-55,21,10
-55,22,10
-55,23,10
-55,24,10
-55,25,10
-55,26,9
-55,27,8
-55,28,7
-55,29,6
-55,30,4
-55,31,3
-55,32,2
-55,33,2
-55,34,2
-55,35,2
-55,36,2
-55,37,2
-55,38,2
-55,39,2
-55,40,2
-55,41,2
-55,42,2
-55,43,2
-55,44,2
-55,45,2
-55,46,2
-55,47,2
-55,48,2
-55,49,2
-55,50,2
-55,51,2
-55,52,2
-55,53,2
-55,54,2
-55,55,2
-55,56,2
-55,57,2
-55,58,2
-55,59,2
-55,60,2
-54,-39,12
-54,-38,11
-54,-37,10
-54,-36,10
-54,-35,10
-54,-34,10
